Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
Aarti Industries Ltd.,CHEMICALS,AARTIIND,EQ,INE769A01020
Adani Enterprises Ltd.,SERVICES,ADANIENT,EQ,INE423A01024
Adani Gas Ltd.,OIL & GAS,ADANIGAS,EQ,INE399L01023
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
CESC Ltd.,POWER,CESC,EQ,INE486A01013
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,EQ,INE00R701025
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013
Future Retail Ltd.,CONSUMER GOODS,FRETAIL,EQ,INE752P01024
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,EQ,INE850D01014
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,EQ,INE246F01010
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,EQ,INE031A01017
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC,EQ,INE763G01038
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,EQ,INE092T01019
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,EQ,INE274G01010
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,EQ,INE335Y01012
Ipca Laboratories Ltd.,PHARMA,IPCALAB,EQ,INE571A01020
JSW Energy Ltd.,POWER,JSWENERGY,EQ,INE121E01018
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,EQ,INE749A01030
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01012
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
L&T Technology Services Ltd.,IT,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Mahanagar Gas Ltd.,OIL & GAS,MGL,EQ,INE002S01010
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,EQ,INE180A01020
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01026
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA,EQ,INE298J01013
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010
Oil India Ltd.,OIL & GAS,OIL,EQ,INE274J01014
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018
Polycab India Ltd.,INDUSTRIAL MANUFACTURING,POLYCAB,EQ,INE455K01017
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,EQ,INE343B01030
SRF Ltd.,INDUSTRIAL MANUFACTURING,SRF,EQ,INE647A01010
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
Syngene International Ltd.,PHARMA,SYNGENE,EQ,INE398R01022
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
Torrent Power Ltd.,POWER,TORNTPOWER,EQ,INE813H01021
Trent Ltd.,CONSUMER GOODS,TRENT,EQ,INE849A01020
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027
Varun Beverages Ltd.,CONSUMER GOODS,VBL,EQ,INE200M01013
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
